"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 22 13:18:35 UTC 2026","Mon Jun 22 13:18:35 UTC 2026","447","tests.api","test_news","TestNews","","","test_get_news[admin_session]","Any user can get news"
"passed","Mon Jun 22 13:19:36 UTC 2026","Mon Jun 22 13:19:36 UTC 2026","211","tests.ui.page_tests","test_register","TestRegister","","","test_user_register[chromium-user_data_empty_username-False]","User can register only with valid data"
"passed","Mon Jun 22 13:19:04 UTC 2026","Mon Jun 22 13:19:04 UTC 2026","105","tests.ui.page_tests","test_news","TestNews","","","test_news_page[chromium-None]","Any user can see news page"
"passed","Mon Jun 22 13:19:39 UTC 2026","Mon Jun 22 13:19:39 UTC 2026","680","tests.ui.page_tests","test_home","TestHome","","","test_home_page[chromium-editor_user]","Any user can see home page"
"passed","Mon Jun 22 13:18:29 UTC 2026","Mon Jun 22 13:18:29 UTC 2026","290","tests.api","test_categories","TestCategories","","","test_create_category[admin_session-200-Admin user should have access to create category]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:18:31 UTC 2026","Mon Jun 22 13:18:31 UTC 2026","447","tests.api","test_categories","TestCategories","","","test_delete_category[regular_session-403-False]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:18:32 UTC 2026","Mon Jun 22 13:18:32 UTC 2026","544","tests.api","test_categories","TestCategories","","","test_delete_category[editor_session-200-True]","Only Admin and Editor users can create category"
"passed","Mon Jun 22 13:18:34 UTC 2026","Mon Jun 22 13:18:35 UTC 2026","453","tests.api","test_news","TestNews","","","test_get_news[editor_session]","Any user can get news"
"passed","Mon Jun 22 13:19:25 UTC 2026","Mon Jun 22 13:19:26 UTC 2026","655","tests.ui.page_tests","test_home","TestHome","","","test_home_page[chromium-regular_user]","Any user can see home page"
"passed","Mon Jun 22 13:19:52 UTC 2026","Mon Jun 22 13:19:53 UTC 2026","820","tests.ui.e2e_tests","test_creation_category_flow","TestCreationCategory","","","test_creation_category[chromium-admin_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:19:49 UTC 2026","Mon Jun 22 13:19:50 UTC 2026","829","tests.ui.e2e_tests","test_creation_category_flow","TestCreationCategory","","","test_creation_category[chromium-editor_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:18:15 UTC 2026","Mon Jun 22 13:18:16 UTC 2026","348","tests.api","test_auth","TestAuth","","","test_login_user[unauthenticated_session-200-undefined_user]","Only user with valid data can log-in"
"passed","Mon Jun 22 13:19:54 UTC 2026","Mon Jun 22 13:19:55 UTC 2026","825","tests.ui.e2e_tests","test_edition_news_flow","TestEditionNews","","","test_edition_news[chromium-admin_user]","Any user can go through flow:
            - Home page
            - Category page
            - Category news page
            - News detail page
            - News
            - News detail page"
"passed","Mon Jun 22 13:18:53 UTC 2026","Mon Jun 22 13:18:54 UTC 2026","447","tests.api","test_news","TestNews","","","test_delete_news[regular_session-403-Regular user shouldn't have access to delete news-True]","Only admin and editor users can delete news"
"passed","Mon Jun 22 13:18:52 UTC 2026","Mon Jun 22 13:18:52 UTC 2026","90","tests.api","test_news","TestNews","","","test_delete_news[unauthenticated_session-302-Unathenticated user shouldn't have access to delete news-False]","Only admin and editor users can delete news"
"passed","Mon Jun 22 13:19:42 UTC 2026","Mon Jun 22 13:19:43 UTC 2026","673","tests.ui.page_tests","test_category","TestCategory","","","test_category_page[chromium-admin_user]","Any user can see category page"
"passed","Mon Jun 22 13:19:40 UTC 2026","Mon Jun 22 13:19:41 UTC 2026","706","tests.ui.page_tests","test_news","TestNews","","","test_news_page[chromium-editor_user]","Any user can see news page"
"passed","Mon Jun 22 13:18:24 UTC 2026","Mon Jun 22 13:18:24 UTC 2026","448","tests.api","test_categories","TestCategories","","","test_get_news_by_category[editor_session]","Any user has access to news by category"
"passed","Mon Jun 22 13:18:21 UTC 2026","Mon Jun 22 13:18:21 UTC 2026","449","tests.api","test_categories","TestCategories","","","test_get_categories[editor_session]","Any user has access to category list"
"passed","Mon Jun 22 13:19:01 UTC 2026","Mon Jun 22 13:19:01 UTC 2026","140","tests.ui.page_tests","test_category","TestCategory","","","test_category_page[chromium-None]","Any user can see category page"
"passed","Mon Jun 22 13:18:19 UTC 2026","Mon Jun 22 13:18:20 UTC 2026","446","tests.api","test_auth","TestAuth","","","test_logout_user[admin_session]","Any user log-out"
"passed","Mon Jun 22 13:19:38 UTC 2026","Mon Jun 22 13:19:39 UTC 2026","817","tests.ui.page_tests","test_category_news","TestCategoryNews","","","test_category_news_page[chromium-editor_user]","Any user can see category news list page"
"passed","Mon Jun 22 13:18:25 UTC 2026","Mon Jun 22 13:18:26 UTC 2026","446","tests.api","test_categories","TestCategories","","","test_get_news_by_category[admin_session]","Any user has access to news by category"
"passed","Mon Jun 22 13:18:42 UTC 2026","Mon Jun 22 13:18:42 UTC 2026","483","tests.api","test_news","TestNews","","","test_create_news[regular_session-403-Regular user shouldn't have access to create news]","Only admin and editor users can create news"
"passed","Mon Jun 22 13:19:01 UTC 2026","Mon Jun 22 13:19:02 UTC 2026","705","tests.ui.page_tests","test_category_add","TestCategoryAdd","","","test_category_add_page[chromium-editor_user]","Admin and editor users can see category add page"
"passed","Mon Jun 22 13:18:36 UTC 2026","Mon Jun 22 13:18:36 UTC 2026","7","tests.api","test_news","TestNews","","","test_get_news_by_id[unauthenticated_session]","Any user can get news by id"
"passed","Mon Jun 22 13:18:21 UTC 2026","Mon Jun 22 13:18:22 UTC 2026","448","tests.api","test_categories","TestCategories","","","test_get_categories[admin_session]","Any user has access to category list"
"passed","Mon Jun 22 13:18:20 UTC 2026","Mon Jun 22 13:18:20 UTC 2026","5","tests.api","test_categories","TestCategories","","","test_get_categories[unauthenticated_session]","Any user has access to category list"
"passed","Mon Jun 22 13:19:27 UTC 2026","Mon Jun 22 13:19:27 UTC 2026","600","tests.ui.page_tests","test_news","TestNews","","","test_news_page[chromium-regular_user]","Any user can see news page"
